Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
2a27d172-6832-537a-e1d0-c3c02c23fa5d,1997-12-12,,999-34-4992,S99928983,X26425408X,Mr.,Esteban536,Reynolds644,,,,white,nonhispanic,M,Hanover  Massachusetts  US,519 Bode Boulevard Unit 54,Worcester,Massachusetts,Worcester County,25027,01605,42.34556232220862,-71.77573804708676,42002.12,6319.09,82834
1d97ee7a-cf6c-a590-371e-5dde80c025b3,2008-06-13,,999-70-2870,,,,Sade71,Tromp100,,,,asian,nonhispanic,F,West Concord  Massachusetts  US,1055 Will Manor,Westfield,Massachusetts,Hampden County,25013,01085,42.13549657189681,-72.77146764267759,28231.17,47896.67,98390
baa81212-4196-7df7-379c-ffbe199acd3d,2003-04-15,,999-78-5841,S99935087,X27392264X,Mr.,Nolan344,Williamson769,,,,white,nonhispanic,M,Quincy  Massachusetts  US,125 Schiller Plaza Suite 3,Amherst Center,Massachusetts,Hampshire County,,00000,42.401370712560144,-72.55089543244533,28489.78,0.00,41172
53efa4b6-802f-b1ac-d123-64747c44d5ff,2009-08-31,,999-36-7415,,,,Filiberto722,Fahey393,,,,white,nonhispanic,M,Brookline  Massachusetts  US,692 O'Connell Gate,Somerville,Massachusetts,Middlesex County,25017,02155,42.38245792700378,-71.11591345704491,46486.70,247814.12,55383
fefc40bd-8f61-5321-c5a3-f7fd9b165ef1,1957-03-17,,999-55-7090,S99970762,X84808645X,Mrs.,Tabatha105,Fisher429,,Murazik203,M,asian,nonhispanic,F,Hong Kong  Hong Kong Special Administrative Region  CN,639 Goodwin Arcade,Dedham,Massachusetts,Norfolk County,25021,02090,42.24903266899335,-71.15725992144175,375387.20,55072.60,98717
e1aa1ff3-b665-11c3-e174-ff5925b5e485,1996-06-11,,999-37-2655,S99978946,X37451713X,Ms.,Robbie31,Carter549,,,,white,nonhispanic,F,Malden  Massachusetts  US,280 Collier Row,Watertown,Massachusetts,Middlesex County,25017,02472,42.33351418479699,-71.21128063316617,82320.15,204874.47,31578
d0425453-1be8-5cb5-47e2-4a73c90eac3c,1968-01-29,,999-99-8348,S99949543,X62424616X,Mr.,Rigoberto443,Miller503,,,M,white,nonhispanic,M,Acushnet  Massachusetts  US,919 Simonis Quay Suite 0,Yarmouth,Massachusetts,Barnstable County,,00000,41.633752129191734,-70.21048694168603,71227.47,98281.66,62532
b87d3ce4-0b43-e69e-9cde-d940037fdeb4,1967-10-06,,999-70-5715,S99911831,X22295281X,Mrs.,Stepanie29,Lebsack687,,Kris249,M,asian,nonhispanic,F,Shanghai  Shanghai Municipality  CN,496 Bechtelar Fort Apt 53,Arlington,Massachusetts,Middlesex County,25017,02474,42.37861938108695,-71.17761915916745,465656.72,2005661.07,122109
593c1a1e-7af4-7f13-06b1-f24ca89e5708,1987-08-24,,999-96-5474,S99993141,X79463997X,Mrs.,Qiana980,Okuneva707,,Little434,D,black,hispanic,F,Yarmouth  Massachusetts  US,260 Hammes Park Apt 16,West Springfield,Massachusetts,Hampden County,25013,01089,42.170541627727765,-72.65207493470189,180753.44,736199.48,717585
96d6e446-5d05-8df3-eff5-b4af55d138bb,1972-05-03,,999-61-1220,S99936767,X11098784X,Mr.,Kermit56,Rutherford999,,,D,white,nonhispanic,M,South Yarmouth  Massachusetts  US,316 Powlowski Walk,Franklin,Massachusetts,Norfolk County,25021,02038,42.03561145695115,-71.37846358373993,80132.27,36404.20,33197
4cabc73b-fcb4-871e-a9cc-bc0807a800c8,2021-12-15,,999-33-5836,,,,Eduardo902,Veum823,,,,white,nonhispanic,M,Attleboro  Massachusetts  US,441 Yundt Bypass,Salem,Massachusetts,Essex County,25009,01907,42.43833851529552,-70.91053987552311,250.00,9123.50,22053
c17a5539-74aa-4805-e623-fdaf4a31dfd9,1999-10-18,,999-70-7754,S99984638,X46638651X,Ms.,Stefania815,West559,,,,white,nonhispanic,F,West Boylston  Massachusetts  US,127 Weimann Gateway Suite 2,Springfield,Massachusetts,Hampden County,25013,01109,42.079043281832504,-72.54315539634095,90294.38,123145.49,93343
d1908df9-fdf5-1e74-48bd-94942e738eca,2013-12-17,,999-89-3818,,,,Orville751,Torp761,,,,white,nonhispanic,M,Milford  Massachusetts  US,318 Simonis Track,Merrimac,Massachusetts,Essex County,,00000,42.8287916704444,-70.98934286606288,24348.95,12034.65,70158
377b7c8d-d139-4780-afc1-fded0ac96a4c,1964-01-20,,999-69-5910,S99967060,X84119534X,Mrs.,Louann705,Abernathy524,,Rippin620,M,black,nonhispanic,F,Haverhill  Massachusetts  US,228 Sanford Key,West Boylston,Massachusetts,Worcester County,,00000,42.4061583342031,-71.83318454840612,138034.66,437722.81,347144
62a22965-3ed6-7380-4c8e-02a19539738d,1995-12-22,,999-74-5044,S99988936,X52331524X,Mr.,Jamison785,Fay398,,,M,black,nonhispanic,M,Somerville  Massachusetts  US,319 Willms Flat,Dracut,Massachusetts,Middlesex County,,00000,42.65946026400202,-71.32223573556216,26056.27,32716.20,120753
ba43bc03-d953-dfdf-29bf-bd5ca256545d,1997-10-24,,999-54-5263,S99949280,X5203221X,Mr.,Karl184,Murazik203,,,,white,nonhispanic,M,Wilmington  Massachusetts  US,549 Stroman Union Suite 64,Waltham,Massachusetts,Middlesex County,25017,02453,42.33730060048972,-71.20841526972937,27948.07,0.00,169490
88c77778-4c35-0dbf-35cf-f58dbae35f0c,1981-07-29,,999-69-7575,S99926328,X21704675X,Mrs.,Argelia29,Altenwerth646,,Gislason620,D,white,hispanic,F,Nantucket  Massachusetts  US,284 Cremin Mill,Beverly,Massachusetts,Essex County,25009,01915,42.52621267118679,-70.8247574993914,126671.42,540580.97,564130
d184bdfd-119d-a708-603d-da7d5d4485dc,1970-12-25,,999-70-1349,S99994733,X26822873X,Ms.,Muoi890,Toy286,,,S,white,nonhispanic,F,East Bridgewater  Massachusetts  US,116 Gutmann Annex,Boston,Massachusetts,Suffolk County,25025,02111,42.29869330368426,-71.04000382378122,523497.93,153765.42,40944
c8c9e825-6765-ab72-f7b2-1bb7beed4146,1987-02-03,,999-13-6813,S99977326,X19276048X,Mrs.,Aleshia311,Sauer652,,Predovic534,M,white,nonhispanic,F,Rockland  Massachusetts  US,715 Marvin Village,Boston,Massachusetts,Suffolk County,25025,02122,42.3086796491353,-71.10906349005633,488010.04,635957.11,91202
ae5f6bc9-2035-8a3d-61dd-22e515a503f8,1988-07-04,,999-49-9989,S99996354,X12972847X,Ms.,Marcie463,Hudson301,,,S,white,nonhispanic,F,Billerica  Massachusetts  US,899 Sanford Annex Apt 97,Smith Mills,Massachusetts,Bristol County,,00000,41.656421869681324,-70.98067791558114,177402.01,510799.89,76565
055c10e5-4891-04d3-bcc4-e470bb7b06dd,1946-05-19,,999-28-8428,S99939117,X85087449X,Mr.,Dustin31,Nolan344,,,D,black,nonhispanic,M,Plymouth  Massachusetts  US,491 Kuhn Flat,Springfield,Massachusetts,Hampden County,25013,01104,42.15709779334582,-72.4622508967906,18239.26,369022.53,10283
77df276b-9d94-daea-fcf4-04b30c370fc7,1988-04-30,,999-42-6341,S99957691,X77180027X,Mrs.,Brigette230,Yundt842,MD,Bogisich202,M,white,nonhispanic,F,Walpole  Massachusetts  US,308 Gislason Divide,South Duxbury,Massachusetts,Plymouth County,,00000,41.96870477314061,-70.67344571226518,11580.91,1057414.99,6289
7dc6cb76-a1bf-ba42-3d54-5c907b14d93a,1992-08-19,,999-71-6769,S99988099,X47711103X,Mrs.,Margot418,Rolfson709,,Weber641,M,white,nonhispanic,F,Lynn  Massachusetts  US,1045 Will Union,Cambridge,Massachusetts,Middlesex County,25017,02139,42.41959055004171,-71.10481364086264,102656.24,192984.99,197284
ebeaf2ab-7a86-5532-0678-0a42fafd0055,1995-04-02,,999-63-3044,S99924560,X43272874X,Mrs.,Lala778,Labadie908,,Brown30,M,white,nonhispanic,F,North Plymouth  Massachusetts  US,785 Borer Course,Northborough,Massachusetts,Worcester County,25027,01532,42.312568260426175,-71.60994255353413,202283.27,421095.72,127489
51c2d782-1f36-657d-5618-42df22e39681,1983-05-26,,999-35-7253,S99928082,X54656436X,Mrs.,Willette878,Hegmann834,,Wunsch504,W,white,nonhispanic,F,Marshfield  Massachusetts  US,1086 Runolfsdottir Ramp,Billerica,Massachusetts,Middlesex County,,00000,42.564989726258744,-71.25017881635472,432681.99,251929.67,73834
35a38de9-c363-17a5-b2c4-c28f3b1c2ac0,1999-11-11,,999-69-4860,S99929094,X2178944X,Mr.,Micah422,Buckridge80,,,,white,nonhispanic,M,Woburn  Massachusetts  US,727 Lakin Crossroad Suite 76,Amherst Center,Massachusetts,Hampshire County,,00000,42.34131583140244,-72.54729325410648,4235.58,31211.76,739
